R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
,,,,,,25048495349484952575165503 2:57:4 5:14:16,,,,,,,,25048495349484952495650573 1:58:54 5:17:16,,25048495349484952575165503 4:33:15 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:57:11 5:14:16,,,,,,,,25048495349484952495650573 1:59:5 5:17:16,,25048495349484952575165503 4:33:16 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:57:13 5:14:16,,,,,,,,25048495349484952495650573 1:59:6 5:17:16,,25048495349484952575165503 4:33:17 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:57:47 5:14:16,,,,,,,,25048495349484952495650573 1:59:6 5:17:16,,25048495349484952575165503 4:33:17 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:57:49 5:14:16,,,,,,,,25048495349484952495650573 1:59:43 5:17:16,,25048495349484952575165503 4:33:17 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:58:28 5:14:16,,,,,,,,25048495349484952495650573 1:59:56 5:17:16,,25048495349484952575165503 4:33:18 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:58:30 5:14:16,,,,,,,,25048495349484952495650573 1:59:56 5:17:16,,25048495349484952575165503 4:33:18 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:59:33 5:14:16,,,,,,,,25048495349484952495650573 2:0:27 5:17:16,,25048495349484952575165503 4:33:19 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:59:36 5:14:16,,,,,,,,25048495349484952485651573 2:24:23 5:17:16,,25048495349484952575165503 4:33:19 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 2:59:36 5:14:16,,,,,,,,25048495349484952485651573 2:24:44 5:17:16,,25048495349484952575165503 4:33:20 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:0:36 5:14:16,,,,,,,,25048495349484952485651573 2:24:57 5:17:16,,25048495349484952575165503 4:33:21 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:0:36 5:14:16,,,,,,,,25048495349484952485651573 2:25:41 5:17:16,,25048495349484952575165503 4:33:24 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:7:43 5:14:16,,,,,,,,25048495349484952485651573 2:26:13 5:17:16,,25048495349484952575165503 4:33:24 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:10:33 5:14:16,,,,,,,,25048495349484952485651573 2:26:47 5:17:16,,25048495349484952575165503 4:33:24 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:11:34 5:14:16,,,,,,,,25048495349484952485651573 2:27:5 5:17:16,,25048495349484952575165503 4:33:26 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:13:4 5:14:16,,,,,,,,25048495349484952485651573 2:27:37 5:17:16,,25048495349484952575165503 4:33:29 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:13:12 5:14:16,,,,,,,,25048495349484952485651573 2:27:52 5:17:16,,25048495349484952575165503 4:33:29 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:13:13 5:14:16,,,,,,,,25048495349484952485651573 2:28:22 5:17:16,,25048495349484952575165503 4:33:29 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:13:46 5:14:16,,,,,,,,25048495349484952485651573 2:28:37 5:17:16,,25048495349484952575165503 4:33:30 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:13:49 5:14:16,,,,,,,,25048495349484952485651573 2:29:10 5:17:16,,25048495349484952575165503 4:33:32 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:13:51 5:14:16,,,,,,,,25048495349484952485651573 2:30:1 5:17:16,,25048495349484952575165503 4:33:35 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:14:41 5:14:16,,,,,,,,25048495349484952485651573 2:30:51 5:17:16,,25048495349484952575165503 4:33:35 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:14:43 5:14:16,,,,,,,,25048495349484952485651573 2:31:2 5:17:16,,25048495349484952575165503 4:33:35 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:15:30 5:14:16,,,,,,,,25048495349484952485651573 2:31:37 5:17:16,,25048495349484952575165503 4:33:36 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:15:32 5:14:16,,,,,,,,25048495349484952485651573 2:31:54 5:17:16,,25048495349484952575165503 4:33:36 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:16:4 5:14:16,,,,,,,,25048495349484952485651573 2:32:26 5:17:16,,25048495349484952575165503 4:33:43 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:16:11 5:14:16,,,,,,,,25048495349484952485651573 2:32:36 5:17:16,,25048495349484952575165503 4:33:49 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:16:16 5:14:16,,,,,,,,25048495349484952485651573 2:33:14 5:17:16,,25048495349484952575165503 4:33:49 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:16:18 5:14:16,,,,,,,,25048495349484952485651573 2:33:30 5:17:16,,25048495349484952575165503 4:33:52 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:17:26 5:14:16,,,,,,,,25048495349484952485651573 2:33:51 5:17:16,,25048495349484952575165503 4:33:53 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:18:10 5:14:16,,,,,,,,25048495349484952485651573 2:34:41 5:17:16,,25048495349484952575165503 4:47:7 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:18:22 5:14:16,,,,,,,,25048495349484952485651573 2:35:1 5:17:16,,25048495349484952575165503 4:47:8 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:18:26 5:14:16,,,,,,,,25048495349484952485651573 2:35:36 5:17:16,,25048495349484952575165503 4:47:15 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:19:17 5:14:16,,,,,,,,25048495349484952485651573 2:35:45 5:17:16,,25048495349484952575165503 4:47:17 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:19:17 5:14:16,,,,,,,,25048495349484952485651573 2:36:26 5:17:16,,25048495349484952575165503 4:47:18 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:19:53 5:14:16,,,,,,,,25048495349484952485651573 2:36:38 5:17:16,,25048495349484952575165503 4:47:18 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:19:53 5:14:16,,,,,,,,25048495349484952485651573 2:37:17 5:17:16,,25048495349484952575165503 4:47:20 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:20:42 5:14:16,,,,,,,,25048495349484952485651573 2:37:34 5:17:16,,25048495349484952575165503 4:47:21 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:20:51 5:14:16,,,,,,,,25048495349484952485651573 2:38:12 5:17:16,,25048495349484952575165503 4:47:21 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:21:25 5:14:16,,,,,,,,25048495349484952485651573 2:38:25 5:17:16,,25048495349484952575165503 4:47:22 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:21:34 5:14:16,,,,,,,,25048495349484952485651573 2:39:5 5:17:16,,25048495349484952575165503 4:47:22 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:21:35 5:14:16,,,,,,,,25048495349484952485651573 2:39:17 5:17:16,,25048495349484952565766563 4:59:3 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:22:14 5:14:16,,,,,,,,25048495349484952485651573 2:39:57 5:17:16,,25048495349484952565766563 4:59:5 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:22:17 5:14:16,,,,,,,,25048495349484952485651573 2:40:16 5:17:16,,25048495349484952565766563 4:59:6 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:22:18 5:14:16,,,,,,,,25048495349484952485651573 2:40:51 5:17:16,,25048495349484952565766563 5:6:58 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:22:19 5:14:16,,,,,,,,25048495349484952485651573 2:41:6 5:17:16,,25048495349484952565766563 5:6:59 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:22:21 5:14:16,,,,,,,,25048495349484952485651573 2:41:42 5:17:16,,25048495349484952565766563 5:7:0 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:23:8 5:14:16,,,,,,,,25048495349484952485651573 2:42:0 5:17:16,,25048495349484952565766563 5:7:0 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:23:12 5:14:16,,,,,,,,25048495349484952485651573 2:42:36 5:17:16,,25048495349484952565766563 5:7:4 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:23:55 5:14:16,,,,,,,,25048495349484952485651573 2:42:48 5:17:16,,25048495349484952565766563 5:7:7 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:25:2 5:14:16,,,,,,,,25048495349484952485651573 2:43:23 5:17:16,,25048495349484952565766563 5:7:8 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:25:4 5:14:16,,,,,,,,25048495349484952485651573 2:43:37 5:17:16,,25048495349484952565766563 5:7:17 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:25:56 5:14:16,,,,,,,,25048495349484952485651573 2:44:9 5:17:16,,25048495349484952565766563 5:7:19 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:25:58 5:14:16,,,,,,,,25048495349484952485651573 2:44:26 5:17:16,,25048495349484953484851483 9:13:13 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:25:58 5:14:16,,,,,,,,25048495349484952485651573 2:44:58 5:17:16,,25048495349484953484851483 9:13:13 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:26:59 5:14:16,,,,,,,,25048495349484952485651573 2:45:11 5:17:16,,25048495349484953484851483 9:13:13 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:27:1 5:14:16,,,,,,,,25048495349484952485651573 2:45:45 5:17:16,,25048495349484953484851483 9:13:14 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:27:41 5:14:16,,,,,,,,25048495349484952485651573 2:46:16 5:17:16,,New Recording Session,,,,,,,,
,,,,,,25048495349484952575165503 3:27:50 5:14:16,,,,,,,,25048495349484952485651573 2:46:50 5:17:16,,25048495349484953484851483 17:45:8 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:28:31 5:14:16,,,,,,,,25048495349484952485651573 2:47:1 5:17:16,,25048495349484953484851483 17:45:9 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:28:34 5:14:16,,,,,,,,25048495349484952485651573 2:47:46 5:17:16,,25048495349484953484851483 17:45:9 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:29:0 5:14:16,,,,,,,,25048495349484952485651573 2:48:43 5:17:16,,25048495349484953484851483 17:47:1 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:29:8 5:14:16,,,,,,,,25048495349484952485651573 2:49:14 5:17:16,,25048495349484953484851483 17:47:2 5:14:16,,,,,,,,
,,,,,,25048495349484952575165503 3:33:13 5:14:16,,,,,,,,25048495349484952485651573 2:49:32 5:17:16,,25048495349484953484851483 9:7:25 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:10:34 5:14:16,,,,,,,,25048495349484952485651573 2:50:9 5:17:16,,25048495349484953484851483 9:7:26 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:10:34 5:14:16,,,,,,,,25048495349484952485651573 2:57:10 5:17:16,,25048495349484953484851483 9:7:27 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:10:35 5:14:16,,,,,,,,25048495349484952485651573 2:57:22 5:17:16,,25048495349484953484851483 9:7:27 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:11:11 5:14:16,,,,,,,,25048495349484952485651573 3:3:7 5:17:16,,New Recording Session,,,,,,,,
,,,,,,25048495349484952575165503 4:11:54 5:14:16,,,,,,,,25048495349484952485651573 3:3:40 5:17:16,,25048495349484953484851483 17:18:35 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:11:55 5:14:16,,,,,,,,25048495349484952495650573 3:21:26 5:17:16,,25048495349484953484851483 17:18:36 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:12:38 5:14:16,,,,,,,,25048495349484952495650573 3:21:27 5:17:16,,25048495349484953484851483 17:18:36 5:15:16,,,,,,,,
,,,,,,25048495349484952575165503 4:12:46 5:14:16,,,,,,,,25048495349484952495650573 3:21:27 5:17:16,,25048495349484953484851483 8:35:17 5:16:16,,,,,,,,
,,,,,,25048495349484952575165503 4:12:49 5:14:16,,,,,,,,25048495349484952495650573 3:21:50 5:17:16,,25048495349484953484851483 8:35:17 5:16:16,,,,,,,,
,,,,,,25048495349484952575165503 4:12:51 5:14:16,,,,,,,,25048495349484952495650573 3:22:11 5:17:16,,25048495349484953484851483 8:35:18 5:16:16,,,,,,,,
,,,,,,25048495349484952575165503 4:12:52 5:14:16,,,,,,,,25048495349484952495650573 3:22:15 5:17:16,,New Recording Session,,,,,,,,
,,,,,,25048495349484952575165503 4:13:32 5:14:16,,,,,,,,25048495349484952495650573 3:22:15 5:17:16,,25048495349484953484851483 18:2:41 5:16:16,,,,,,,,
,,,,,,25048495349484952575165503 4:13:43 5:14:16,,,,,,,,25048495349484952495650573 3:22:48 5:17:16,,25048495349484953484851483 18:2:42 5:16:16,,,,,,,,
,,,,,,25048495349484952575165503 4:13:44 5:14:16,,,,,,,,25048495349484952495650573 3:23:7 5:17:16,,25048495349484953484851483 18:2:42 5:16:16,,,,,,,,
,,,,,,25048495349484952575165503 4:13:45 5:14:16,,,,,,,,25048495349484952495650573 3:23:8 5:17:16,,25048495349484952485451553 2:0:13 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:13:46 5:14:16,,,,,,,,25048495349484952495650573 3:23:9 5:17:16,,25048495349484953484851483 9:1:9 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:14:33 5:14:16,,,,,,,,25048495349484952495650573 3:23:9 5:17:16,,25048495349484953484851483 9:1:10 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:14:47 5:14:16,,,,,,,,25048495349484952495650573 3:23:9 5:17:16,,25048495349484953484851483 9:1:10 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:14:47 5:14:16,,,,,,,,25048495349484952495650573 3:23:12 5:17:16,,New Recording Session,,,,,,,,
,,,,,,25048495349484952575165503 4:15:23 5:14:16,,,,,,,,25048495349484952495650573 3:23:12 5:17:16,,25048495349484953484851483 16:46:27 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:15:25 5:14:16,,,,,,,,25048495349484952495650573 3:23:13 5:17:16,,25048495349484953484851483 16:46:27 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:16:7 5:14:16,,,,,,,,25048495349484952495650573 3:23:15 5:17:16,,25048495349484953484851483 16:46:27 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:16:15 5:14:16,,,,,,,,25048495349484952495650573 3:23:34 5:17:16,,25048495349484953484851483 16:46:28 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:16:20 5:14:16,,,,,,,,25048495349484952495650573 3:23:45 5:17:16,,25048495349484953515748573 21:7:55 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:17:9 5:14:16,,,,,,,,25048495349484952495650573 3:23:46 5:17:16,,25048495349484953515748573 21:7:55 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:17:9 5:14:16,,,,,,,,25048495349484952495650573 3:24:16 5:17:16,,25048495349484953515748573 21:7:56 5:17:16,,,,,,,,
,,,,,,25048495349484952575165503 4:17:49 5:14:16,,,,,,,,25048495349484952495650573 3:24:32 5:17:16,,25048495349484952485451553 2:14:25 5:18:16,,,,,,,,
,,,,,,25048495349484952575165503 4:17:58 5:14:16,,,,,,,,25048495349484952495650573 3:24:32 5:17:16,,25048495349484952485451553 2:14:26 5:18:16,,,,,,,,
,,,,,,25048495349484952575165503 4:18:1 5:14:16,,,,,,,,25048495349484952495650573 3:24:35 5:17:16,,25048495349484952485451553 2:14:26 5:18:16,,,,,,,,
,,,,,,25048495349484952575165503 4:20:37 5:14:16,,,,,,,,25048495349484952495650573 3:24:35 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:20:48 5:14:16,,,,,,,,25048495349484952495650573 3:24:55 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:20:48 5:14:16,,,,,,,,25048495349484952495650573 3:25:10 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:21:50 5:14:16,,,,,,,,25048495349484952495650573 3:25:11 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:22:19 5:14:16,,,,,,,,25048495349484952495650573 3:25:50 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:22:24 5:14:16,,,,,,,,25048495349484952495650573 3:26:7 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:22:25 5:14:16,,,,,,,,25048495349484952495650573 3:26:7 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:23:17 5:14:16,,,,,,,,25048495349484952495650573 3:26:8 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:23:24 5:14:16,,,,,,,,25048495349484952495650573 3:26:8 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:23:26 5:14:16,,,,,,,,25048495349484952495650573 3:26:45 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:23:56 5:14:16,,,,,,,,25048495349484952495650573 3:26:53 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:23:57 5:14:16,,,,,,,,25048495349484952495650573 3:26:54 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:23:58 5:14:16,,,,,,,,25048495349484952495650573 3:26:54 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:24:15 5:14:16,,,,,,,,25048495349484952495650573 3:27:32 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:24:18 5:14:16,,,,,,,,25048495349484952495650573 3:28:3 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:24:27 5:14:16,,,,,,,,25048495349484952495650573 3:28:44 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:24:28 5:14:16,,,,,,,,25048495349484952495650573 3:28:57 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:24:46 5:14:16,,,,,,,,25048495349484952495650573 3:29:41 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:24:54 5:14:16,,,,,,,,25048495349484952495650573 3:29:58 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:24:57 5:14:16,,,,,,,,25048495349484952495650573 3:30:35 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:25:11 5:14:16,,,,,,,,25048495349484952495650573 3:30:51 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:25:28 5:14:16,,,,,,,,25048495349484952495650573 3:30:51 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:25:40 5:14:16,,,,,,,,25048495349484952495650573 3:31:32 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:25:53 5:14:16,,,,,,,,25048495349484952495650573 3:31:55 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:26:40 5:14:16,,,,,,,,25048495349484952495650573 3:32:33 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:27:31 5:14:16,,,,,,,,25048495349484952495650573 4:19:50 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:28:17 5:14:16,,,,,,,,25048495349484952495650573 4:20:9 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:28:17 5:14:16,,,,,,,,25048495349484953514948493 8:50:34 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:29:2 5:14:16,,,,,,,,25048495349484953514948493 8:50:34 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:29:11 5:14:16,,,,,,,,25048495349484953514948493 8:50:35 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:29:13 5:14:16,,,,,,,,New Recording Session,,,,,,,,,,
,,,,,,25048495349484952575165503 4:29:35 5:14:16,,,,,,,,25048495349484953514948493 16:40:12 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:29:58 5:14:16,,,,,,,,25048495349484953514948493 16:40:12 5:17:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:30:0 5:14:16,,,,,,,,25048495349484953514948493 16:40:13 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:40:18 5:14:16,,,,,,,,25048495349484952485651573 21:11:50 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:40:38 5:14:16,,,,,,,,25048495349484952485651573 22:14:32 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:40:46 5:14:16,,,,,,,,25048495349484952485651573 22:14:32 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:40:47 5:14:16,,,,,,,,25048495349484952485651573 22:14:32 5:17:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:40:48 5:14:16,,,,,,,,25048495349484952495650573 1:37:9 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:41:15 5:14:16,,,,,,,,25048495349484952495650573 1:37:10 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:41:26 5:14:16,,,,,,,,25048495349484952495650573 1:37:10 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:41:27 5:14:16,,,,,,,,25048495349484952495650573 1:37:10 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:41:28 5:14:16,,,,,,,,25048495349484952495650573 1:37:11 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:41:58 5:14:16,,,,,,,,25048495349484952495650573 1:37:11 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:42:9 5:14:16,,,,,,,,25048495349484952495650573 1:43:23 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:42:10 5:14:16,,,,,,,,25048495349484952495650573 1:43:55 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:42:37 5:14:16,,,,,,,,25048495349484952495650573 1:44:53 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:42:47 5:14:16,,,,,,,,25048495349484952495650573 1:45:45 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:43:10 5:14:16,,,,,,,,25048495349484952495650573 1:46:14 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:43:19 5:14:16,,,,,,,,25048495349484952495650573 1:46:14 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:43:20 5:14:16,,,,,,,,25048495349484952495650573 1:47:15 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:43:46 5:14:16,,,,,,,,25048495349484952495650573 1:47:38 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:43:54 5:14:16,,,,,,,,25048495349484952495650573 1:47:38 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:44:55 5:14:16,,,,,,,,25048495349484952495650573 1:47:39 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:44:56 5:14:16,,,,,,,,25048495349484952495650573 1:48:19 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:44:56 5:14:16,,,,,,,,25048495349484952495650573 1:48:32 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:45:20 5:14:16,,,,,,,,25048495349484952495650573 1:48:33 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:45:28 5:14:16,,,,,,,,25048495349484952495650573 1:48:33 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:45:28 5:14:16,,,,,,,,25048495349484952495650573 1:49:25 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:45:53 5:14:16,,,,,,,,25048495349484952495650573 1:49:44 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:46:3 5:14:16,,,,,,,,25048495349484952495650573 1:49:44 5:18:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:46:26 5:14:16,,,,,,,,25048495349484952495650573 1:50:34 5:18:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:47:45 5:14:16,,,,,,,,25048495349484952495650573 1:50:50 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:48:49 5:14:16,,,,,,,,25048495349484952495650573 1:50:50 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:48:55 5:14:16,,,,,,,,25048495349484952495650573 1:50:50 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:49:21 5:14:16,,,,,,,,25048495349484952495650573 1:51:16 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:49:26 5:14:16,,,,,,,,25048495349484952495650573 1:51:30 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:49:27 5:14:16,,,,,,,,25048495349484952495650573 1:51:31 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:49:28 5:14:16,,,,,,,,25048495349484952495650573 1:51:56 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:49:28 5:14:16,,,,,,,,25048495349484952495650573 1:52:17 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:50:8 5:14:16,,,,,,,,25048495349484952495650573 1:52:17 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:50:20 5:14:16,,,,,,,,25048495349484952495650573 1:52:53 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:50:46 5:14:16,,,,,,,,25048495349484952495650573 1:52:53 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:50:52 5:14:16,,,,,,,,25048495349484952495650573 1:52:53 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:50:53 5:14:16,,,,,,,,25048495349484952495650573 1:53:51 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:51:18 5:14:16,,,,,,,,25048495349484952495650573 1:54:4 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:51:25 5:14:16,,,,,,,,25048495349484952495650573 1:54:4 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:52:8 5:14:16,,,,,,,,25048495349484952495650573 1:54:28 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:52:15 5:14:16,,,,,,,,25048495349484952495650573 1:54:47 5:18:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:52:36 5:14:16,,,,,,,,25048495349484952495650573 1:55:16 5:18:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:52:37 5:14:16,,,,,,,,25048495349484952495650573 1:55:30 5:18:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:52:39 5:14:16,,,,,,,,25048495349484952495650573 1:55:30 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:52:45 5:14:16,,,,,,,,25048495349484952495650573 1:56:10 5:18:16,,,,,,,,,,
,,,,,,25048495349484952575165503 4:52:51 5:14:16,,,,,,,,25048495349484952495650573 1:56:23 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:52:55 5:14:16,,,,,,,,25048495349484952495650573 1:56:23 5:18:16,,,,,,,,,,
,,,,,,25048495349484952565766563 4:52:56 5:14:16,,,,,,,,25048495349484952495650573 1:56:59 5:18:16,,,,,,,,,,
